SAMindex,EGsmlie2D,TC_mean,c_interface_mean,SAM_length_mean,Water_all_overlap_factor
SAM167,CC(C)(CO)[C@@H](O)C(=O)NCCO,115.273,-146.2180705,16.51780315,0.309773476
SAM168,CCNC(=O)C(=O)NCCOC,79.332,-78.68378152,17.06682763,0.280471645
SAM169,CCNC(=O)C(=O)NCCO,121.14075,-159.9883295,15.53043196,0.30015373
SAM170,CNC(=O)C(=O)NC,115.7845,-119.0548522,12.77423737,0.284025761
SAM171,CNC(=O)CN1C(=O)CCC1=O,112.68575,-191.3526247,15.55269635,0.30953057
SAM172,CNC(=O)NCCO,112.84125,-134.4026891,13.76568305,0.322385836
SAM173,COC(=O)C(N)C(=O)OC,113.0645,-147.8113709,15.58289449,0.304836773
SAM174,COC(=O)C1(C(=O)OC)CN1,118.2965,-162.6270467,16.00270666,0.289182672
SAM175,COC(=O)C1(C(=O)OC)ON1C,110.948,-146.5124553,16.10570382,0.286390369
SAM176,COC(=O)C1(N)COC1,86.002,-121.1757132,13.87524985,0.303145244
SAM177,COC(=O)[C@@H](N)CN1CCOCC1,73.58425,-121.6863808,17.49864946,0.295279974
SAM178,COC(=O)[C@@H](N)[C@@H](C)O,84.21575,-82.60028821,14.73171931,0.322959488
SAM179,COC(=O)[C@@H](N)[C@H](C)O,74.42025,-75.80956173,14.78174794,0.327280723
SAM180,COC(=O)[C@@H](O)[C@@H](O)C(=O)OC,110.87125,-174.0431477,15.96345219,0.299445206
SAM181,COC(=O)[C@@H](O)[C@H](O)C(=O)OC,119.86425,-179.9084376,15.92544226,0.302002683
SAM182,COC(=O)[C@H](N)[C@H](C)O,82.61525,-81.91557463,14.60643034,0.324324217
SAM183,COC(=O)[C@H](N)[C@@H](C)O,75.4845,-79.49387601,14.77488028,0.32571252
SAM184,COC(=O)[C@H](N)CN1CCOCC1,70.9445,-118.3219461,17.50338258,0.29988725
SAM185,COC(=O)[C@H]1CS(=O)(=O)CCN1,83.20275,-114.6119,15.81821543,0.334200105
SAM186,COC(=O)c1nnc(C(=O)OC)nn1,102.002,-144.9508595,17.35921131,0.294464056
SAM187,CO[C@H]1O[C@H](OC)[C@H](O)[C@@H]1O,117.39975,-113.4705087,15.95494568,0.279246563
SAM188,CO[C@H]1O[C@@H](OC)[C@H](O)[C@H]1O,115.81225,-111.3852032,15.96375154,0.278135498
SAM189,CO[C@H]1O[C@@H](OC)[C@H](O)[C@@H]1O,116.6605,-112.7968516,15.93930345,0.280743187
SAM190,CO[C@H]1O[C@@H](OC)[C@@H](O)[C@@H]1O,117.5195,-111.9693406,15.92830245,0.278201104
SAM191,CO[C@H]1O[C@@H](OC)[C@@H](O)[C@H]1O,116.57475,-108.558383,15.97681397,0.282566365
SAM192,CS(=O)(=O)NO,104.15825,-149.0071321,12.63378054,0.374133403
SAM193,C[C@@H](O)C(=O)NCCO,109.14,-136.4246239,14.83022045,0.302421238
SAM194,CNC(=O)CNC(C)=O,95.9265,-117.0250582,13.41417327,0.318465061
SAM195,Cn1ncnc2c(=O)n(C)c(=O)nc1-2,114.667,-250.0625907,18.57758266,0.319567
SAM196,NC(=O)CCc1nc(N)n[nH]1,114.02725,-81.00919608,15.39220906,0.363935772
SAM197,NC(=O)Cn1cc(N)ccc1=O,77.1865,-51.4776032,16.79720867,0.377576117
SAM198,NC(=O)Cc1nonc1N,101.528,-102.4823332,13.61948474,0.347004315
SAM199,NC(=O)Cc1nc[nH]n1,108.5405,-92.72565262,13.52401181,0.346883364
SAM200,NC(=O)NC(=O)CO,100.34075,-92.52359834,11.84632683,0.358901847
SAM201,NC(=O)NCCN1CCOCC1,77.5845,-119.3617832,17.37313169,0.294055983
SAM202,NC(=O)NCCO,115.9935,-132.8570227,12.56216586,0.327469311
SAM203,NC(=O)NC(CO)(CO)CO,123.3615,-181.5619543,14.25299552,0.315306214
SAM204,NC(=O)NC1NCCN1,76.6275,-86.62714002,13.69980652,0.345856655
SAM205,NC(=O)C(C(N)=O)C1CC1,115.5685,-132.3380833,14.22766181,0.344165391
SAM206,CNC(=O)c1noc(CN)n1,90.3335,-114.6581001,14.43947407,0.343571758
SAM207,NC(=O)[C@@H]1CO1,92.11925,-88.49214142,11.733567,0.292329175
SAM208,NC(=O)[C@@H](O)[C@H]1CCOC1,72.40075,-107.4021513,14.6352428,0.289564303
SAM209,NC(=O)[C@@H](O)[C@@H]1CCOC1,82.39825,-118.0183552,14.72141488,0.295392588
