SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM091,111.3995,111.1979,109.9779,119.96046,110.582054,111.1867,110.525856,111.157295,110.2279,110.120766,111.37838
SAM092,108.452,111.19653,111.61496,111.56987,109.96272,129.43271,112.13836,109.98397,112.836044,109.524185,111.51059
SAM093,66.9665,67.108864,67.65751,67.444305,66.45444,67.248,65.46525,67.63719,66.65619,72.313736,68.042786
SAM094,90.41975,91.604004,90.430626,92.42327,92.8983,90.58214,120.86148,91.31057,91.647095,94.82844,91.77246
SAM095,112.95075,112.47484,111.213356,110.09543,112.72515,113.01001,110.78736,111.31335,111.030716,108.60931,110.88114
SAM096,101.59725,103.80237,103.064125,103.28694,102.265724,103.73061,102.36501,103.01483,138.58046,104.247574,102.37817
SAM097,63.84375,64.00896,69.55811,64.47246,64.61771,64.718895,64.4534,64.26272,64.15971,64.736046,64.509
SAM098,59.67675,60.931267,61.763474,60.308807,60.39682,61.645607,61.621502,69.17783,59.927246,59.982048,60.379917
SAM099,74.7025,75.532845,76.13212,75.120926,76.34998,77.56375,75.719444,75.19621,75.59657,75.36902,98.13742
SAM100,116.545,118.08109,117.685135,117.01629,118.560104,154.65573,117.0153,117.954994,117.058365,118.59157,117.249245
SAM101,120.1215,123.99743,120.87793,121.67247,120.87146,120.79054,120.98199,120.731415,120.616325,121.201096,120.763
SAM102,85.48025,85.82564,86.33914,86.89691,86.36267,86.40213,86.616936,86.7371,87.18078,105.80668,85.91057
SAM103,93.27825,93.634026,94.08951,94.22092,93.16885,93.353226,93.80819,101.35484,91.79601,95.33613,93.695694
SAM104,112.58475,112.44319,112.04482,112.36708,113.55001,112.803085,118.034065,112.97994,112.75817,112.85359,113.04191
SAM105,81.7565,79.966255,81.331314,81.91866,79.656715,81.6212,81.55496,81.66594,81.65121,81.2771,80.36721
SAM106,101.951,101.33194,101.00921,100.92272,101.10267,101.342896,101.2615,98.89711,100.789474,101.25907,101.04101
SAM107,80.298,81.77186,82.60114,82.902374,80.429535,81.45896,102.549095,80.905685,81.520546,81.71796,81.01804
SAM108,89.49125,88.70608,90.75169,89.50741,89.77994,86.292694,88.87083,89.75852,89.645256,89.2316,90.55903
SAM109,114.55325,115.9397,116.04223,118.2814,116.77437,115.968346,117.08603,116.31099,116.47619,126.356476,116.68335
SAM110,124.09175,124.67553,125.31644,128.0855,124.58396,124.70557,125.341324,126.53412,124.08031,124.6582,125.04137
SAM111,122.96725,122.94662,123.35751,122.4982,131.45624,122.29943,123.37327,123.45661,123.183556,122.74968,123.16207
SAM112,155.915,153.03772,155.05067,152.87251,155.67674,153.78014,152.98378,153.1016,156.94917,150.18654,153.60974
SAM113,160.09775,160.71239,160.47395,160.01642,160.1083,160.08243,159.09851,159.9247,159.75531,160.63455,158.49942
SAM114,163.98025,162.7358,162.97359,163.52795,164.04475,163.1448,163.20334,163.74258,162.80106,162.66495,147.62848
SAM115,143.1215,135.35513,142.02277,142.29147,142.73259,142.53154,142.19292,141.95006,143.09808,143.35796,142.52272
SAM116,147.0335,148.5545,148.74283,150.05429,147.9091,149.04515,150.45476,150.03537,161.04169,148.21292,149.9781
SAM117,129.51225,128.70346,125.60108,129.01524,128.83838,129.82532,128.85202,128.51973,129.30301,130.04709,129.76276
SAM118,101.887,100.8669,100.79331,88.33351,100.566765,101.07025,100.61065,100.705414,99.90287,100.36629,100.51202
SAM119,128.84375,127.089325,132.08205,129.51492,128.18346,128.34254,128.51361,128.27864,129.55827,127.18998,127.750496
SAM120,182.95075,181.7883,167.63391,182.20683,181.44844,181.39453,181.3204,180.73093,181.08644,181.47101,181.69568
SAM121,164.298,163.72847,165.09802,167.20871,166.5176,165.60823,165.03926,166.68735,164.17223,164.91641,168.81776
SAM122,183.66,181.72183,180.45618,182.84476,176.15196,181.87584,182.76678,182.96701,182.60074,182.99493,182.74483
SAM123,93.65525,93.198235,92.46752,93.74558,93.13797,94.11274,93.3257,92.329605,93.139885,94.36891,91.917404
SAM124,79.6345,80.29677,80.672295,80.57622,80.376854,91.598785,80.98037,82.13861,81.4631,80.43338,80.546104
SAM125,169.89175,169.85674,171.02472,169.89322,170.58649,170.28802,169.23682,170.50726,170.83458,170.80042,170.24821
SAM126,171.53725,170.52104,169.3528,171.26219,165.08191,170.91365,171.24939,170.04036,170.19624,170.4135,170.93634
SAM127,167.16975,169.64795,168.81088,167.57118,167.15099,167.55016,167.16609,168.60165,168.51564,168.51804,166.90442
SAM128,172.628,172.83649,172.63074,172.68213,173.5466,172.50334,173.34702,172.90855,172.82924,175.34586,174.2721
SAM129,80.25675,79.251854,78.556984,78.189606,79.39017,80.23842,79.693054,79.911865,78.77102,79.44331,79.093956
SAM130,134.4615,136.40184,135.14267,136.06804,135.78447,137.23848,136.72101,137.05348,136.98691,135.65005,155.66684
SAM131,110.3845,110.04068,109.61464,109.136955,110.113304,109.735504,110.77926,109.13957,110.89333,109.912125,111.7235
