,SAMindex,TC_mean,E_pair_var,c_interface_up_mean,c_interface_dw_mean,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
269,SAM270,109.47,40539.18317,-110.0701643,-98.03258884,0.425360307,0.367897923,16.78412356,98.21,-2.0649,35.8535
270,SAM271,186.62825,38083.28681,-227.6262582,-215.9801159,0.39853164,0.391245824,16.57386235,89.34,-1.8202,28.8506
271,SAM272,79.8305,51369.94052,-160.9141073,-150.4773039,0.502507861,0.394544192,20.47696756,70.59,-1.5266,47.3222
272,SAM273,210.4105,39687.51463,-222.7167377,-220.5857361,0.39853164,0.391245824,16.57386235,89.34,-1.8202,28.8506
273,SAM274,145.427,46336.741,-196.2218037,-206.4187082,0.486321826,0.342564978,5.733667477,76.7,-1.4329,31.7201
274,SAM275,154.62575,46713.94319,-175.1835629,-157.5617654,0.370820593,0.394207129,16.57386235,89.34,-2.2087,24.2556
275,SAM276,152.52825,50654.57518,-171.9149065,-150.544426,0.370820593,0.394207129,16.57386235,89.34,-2.2087,24.2556
276,SAM277,84.62875,44448.72783,-124.4115873,-111.1091826,0.395551342,0.361385984,15.95036581,75.43,-2.0965,38.6441
277,SAM278,143.44975,35777.77188,-283.2309788,-244.9203794,0.549775671,0.369637521,10.63357721,66.64,-1.3642,47.8884
278,SAM279,153.3895,38961.68684,-181.0519059,-174.314769,0.570481795,0.369395693,11.46733495,89.42,-1.331,47.5528
279,SAM280,61.3245,60502.06332,-90.79626788,-75.60458221,0.51408267,0.378498861,15.78731903,64.35,-1.1498,36.4211
280,SAM281,56.52975,57352.2947,-81.73526528,-73.14076876,0.51408267,0.378498861,15.78731903,64.35,-1.1498,36.4211
281,SAM282,130.57225,46150.69718,-211.5697865,-180.3956457,0.495325518,0.368307183,10.717646,83.8,-1.0907,42.1138
282,SAM283,88.1515,58178.47481,-121.797775,-107.3515026,0.444508859,0.369008502,11.05045608,72.19,-1.3497,35.1781
283,SAM284,77.6795,75519.15502,-95.83444368,-84.26800499,0.451872695,0.367372923,15.78731903,64.35,-1.5399,31.8041
284,SAM285,84.96375,53328.15161,-127.2557815,-120.7874191,0.45740109,0.378891782,16.20419791,78.34,-1.4105,31.5488
285,SAM286,77.53575,72476.56047,-90.05940934,-92.64298969,0.451872695,0.367372923,15.78731903,64.35,-1.5399,31.8041
286,SAM287,79.212,61336.56012,-127.1978222,-119.7192849,0.45740109,0.378891782,16.20419791,78.34,-1.4105,31.5488
287,SAM288,132.676,43261.49255,-221.8729747,-185.0571117,0.495325518,0.368307183,10.717646,83.8,-1.0907,42.1138
288,SAM289,85.12325,54680.33632,-120.0487334,-107.7365647,0.444508859,0.369008502,11.05045608,72.19,-1.3497,35.1781
289,SAM290,154.91075,48340.74117,-94.67617257,-93.58793274,0.428137321,0.366503769,11.46733495,93.61,-1.1544,28.6865
290,SAM291,143.9275,43121.08238,-131.8417858,-114.1997326,0.436472254,0.367636425,17.20100243,116.73,-1.5053,36.5432
291,SAM292,169.6565,41711.87222,-325.0931365,-305.5652368,0.384463193,0.54385304,20.95152066,82.76,-3.6007,28.1798
292,SAM293,184.703,39206.24002,-421.5170426,-405.4158282,0.384463193,0.543895625,20.95152066,82.76,-3.6007,28.1798
293,SAM294,184.987,41700.59068,-412.7135414,-411.7715278,0.384463193,0.543895625,20.95152066,82.76,-3.6007,28.1798
294,SAM295,164.41975,36125.79333,-182.7600433,-162.2710157,0.302325671,0.387901235,25.79011262,95.94,-2.6159,31.9478
295,SAM296,183.9305,33709.149,-459.5774804,-415.1542941,0.384463193,0.543895625,20.95152066,82.76,-3.6007,28.1798
296,SAM297,76.0695,62490.40853,-120.6829232,-110.8365636,0.496689898,0.378442264,20.68722877,62.39,-1.0962,45.0681
297,SAM298,145.1265,43536.06754,-137.3817362,-119.4401933,0.483376507,0.362812222,5.733667477,84.66,-1.0964,24.9006
298,SAM299,89.19175,65438.81187,-118.4577925,-101.737255,0.5191863,0.3677639,16.78412356,106.92,-1.1966,50.373
299,SAM300,84.56275,60257.57615,-81.69347778,-70.68559336,0.42511108,0.391245684,16.15698348,75.35,-1.5595,33.7229
