,SAMindex,TC_mean,Peak2_frequency,E_pair_var,TotEng_var,c_interface_up_mean,c_interface_dw_mean,SAM_up_length_gm,SAM_dw_length_gm,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
96,SAM097,63.84375,43.68803188,59942.8826,239724.5785,-67.94944172,-56.29171123,17.23820873,17.46358073,0.419055567,0.38462032,15.37044016,67.43,-1.1149,43.5694
97,SAM098,59.67675,43.36972199,67343.59899,227759.7415,-65.27430069,-54.87583282,15.61267401,15.73819324,0.389587539,0.382860544,15.37044016,67.43,-1.505,38.9524
98,SAM099,74.7025,43.92676429,52607.57793,208439.6434,-129.8175795,-122.4751665,16.23090183,16.23193653,0.539627534,0.378790372,15.78731903,67.59,-1.0556,39.9781
99,SAM100,116.545,43.29014452,43081.81728,208759.3784,-248.8180979,-236.5093632,13.99541135,14.10412776,0.432478407,0.543896142,20.95152066,99.83,-3.684,32.9368
100,SAM101,120.1215,42.97183463,57711.66346,251591.8758,-173.8717916,-164.5206679,15.0095231,14.73249571,0.509964234,0.369317741,16.20419791,95.41,-1.4734,43.1698
101,SAM102,85.48025,43.13098958,48993.27218,174796.6699,-155.2048167,-135.0488608,17.97016264,18.98021361,0.219778437,0.365133854,4.736862954,72.63,-1.2015,40.8214
102,SAM103,93.27825,43.13098958,64987.64868,266980.3574,-155.0250475,-129.3844724,17.70468178,16.38059046,0.219778437,0.365133854,4.736862954,72.63,-1.2015,40.8214
103,SAM104,112.58475,37.56056657,49322.52555,212047.8268,-179.7240553,-147.2352329,15.69219842,15.936194,0.517393127,0.334687828,9.799819462,57.58,-1.0934,42.048
104,SAM105,81.7565,43.52887694,57387.69278,195406.3381,-112.7842077,-95.35116848,13.00627162,13.17701842,0.471734095,0.307931626,5.316788604,55.63,-1.2237,29.5237
105,SAM106,101.951,44.16549671,44143.32219,169271.7126,-106.8001118,-90.14202103,12.07132066,12.11172773,0.341383498,0.291827663,0.0,36.09,-1.3587,24.0081
106,SAM107,80.298,37.40141163,56714.89795,198952.6908,-116.1698084,-82.21071658,14.76998399,15.25086059,0.384214418,0.219986049,0.0,87.2,-1.9304,33.838
107,SAM108,89.49125,37.32183416,55590.83828,225895.4684,-90.59944992,-78.23567496,17.2302678,17.42539648,0.49122188,0.389447269,15.7401046,78.43,-1.3805,43.3742
108,SAM109,114.55325,37.4809891,45517.57053,211330.1196,-151.6474165,-131.3777519,14.66324607,14.94414744,0.491205303,0.388479137,15.16017895,58.56,-1.1178,34.4305
109,SAM110,124.09175,43.44929946,52109.34135,219327.6926,-196.3497174,-174.8460923,16.51481139,16.87383144,0.493043682,0.388275646,20.26670635,78.79,-1.0208,44.7823
110,SAM111,122.96725,37.32183416,40448.61142,164465.6673,-161.2482592,-143.444153,16.1153704,16.26055045,0.532311104,0.387893253,19.89704191,67.79,-1.3504,43.0915
111,SAM112,155.915,37.4809891,40897.84824,168088.6042,-244.1578916,-205.7029036,12.15663113,12.15514606,0.387965513,0.342257237,10.63357721,46.33,-1.2143,25.6124
112,SAM113,160.09775,43.44929946,34620.77881,180463.1902,-261.0444918,-228.3626497,15.37331133,15.31876322,0.368118252,0.295720204,0.0,83.55,-1.7361,42.5237
113,SAM114,163.98025,43.52887694,46142.59258,209422.3317,-260.9931608,-235.8242477,15.43664841,15.24803373,0.368118252,0.295720204,0.0,83.55,-1.7361,42.5237
114,SAM115,143.1215,43.84718682,42684.05328,199702.1072,-156.101673,-145.5576542,13.04907319,13.16214372,0.445813188,0.395043285,10.21305479,43.7,-1.1397,26.8016
115,SAM116,147.0335,37.4809891,39581.13247,177725.68,-245.0256652,-196.2638816,12.17368965,12.30681786,0.387965513,0.342257237,10.63357721,46.33,-1.2143,25.6124
116,SAM117,129.51225,43.52887694,37679.71096,176711.9895,-207.4760825,-190.9207543,18.63249281,21.24517207,0.478056391,0.388709535,10.21305479,60.77,-1.2463,41.5936
117,SAM118,101.887,37.4809891,63190.86306,224168.5433,-110.1458712,-76.9587704,13.84825041,13.95931789,0.467589131,0.388364703,15.19703331,82.03,-1.2107,28.2283
118,SAM119,128.84375,43.60845441,38363.5914,177108.8036,-178.615221,-160.865674,13.59670526,13.6872337,0.48816144,0.367129061,15.78731903,64.35,-1.1498,36.4211
119,SAM120,182.95075,37.56056657,44829.56458,191460.1598,-201.824845,-181.7672237,14.22441355,14.35143981,0.32402012,0.387607573,25.79011262,95.94,-2.2274,36.5428
120,SAM121,164.298,37.40141163,41757.96697,170389.2961,-144.9179435,-124.6461765,11.52749278,11.80541969,0.230248323,0.313472672,5.207253025,87.71,-1.0261,18.6926
121,SAM122,183.66,37.4809891,36184.98125,159006.5748,-198.1123836,-179.0138507,14.42340185,14.4118045,0.32402012,0.387607573,25.79011262,95.94,-2.2274,36.5428
122,SAM123,93.65525,43.76760935,45215.85708,211906.8378,-128.4090758,-112.3355946,13.27159897,13.41791606,0.417443799,0.377456642,15.78731903,64.35,-1.5399,31.8041
123,SAM124,79.6345,43.52887694,40645.06378,188177.6846,-124.0051699,-107.1724814,13.41167608,13.26361366,0.417443799,0.377456642,15.78731903,64.35,-1.5399,31.8041
124,SAM125,169.89175,37.16267921,34320.03968,162397.0737,-192.1013037,-168.7193005,15.24480219,15.45524669,0.284553267,0.394649055,25.74289818,92.95,-2.9668,36.8969
125,SAM126,171.53725,37.64014404,39697.08568,185497.1053,-208.418761,-195.9925912,15.05876025,15.07659436,0.288439898,0.39356653,30.89664001,116.17,-3.255,37.9546
126,SAM127,167.16975,37.64014404,39085.18273,172700.7732,-207.8142837,-187.1645355,15.06852976,15.07939575,0.288439898,0.39356653,30.89664001,116.17,-3.255,37.9546
