SAMindex,True_Values,Fold1_Predictions,Fold2_Predictions,Fold3_Predictions,Fold4_Predictions,Fold5_Predictions,Fold6_Predictions,Fold7_Predictions,Fold8_Predictions,Fold9_Predictions,Fold10_Predictions
SAM181,119.86425,119.9289,119.82628,119.74657,119.82065,119.736855,119.8038,119.75392,119.72755,114.67111,119.71754
SAM182,82.61525,82.628494,82.59236,82.51303,82.539055,78.46834,82.63247,82.55291,82.501335,82.59416,82.5736
SAM183,75.4845,76.902275,75.475464,75.48157,75.452866,75.46931,75.477036,75.52917,75.52395,75.51355,75.46592
SAM184,70.9445,70.99661,75.29083,70.91879,70.91532,70.983215,71.01159,70.9303,70.922646,70.96983,70.91302
SAM185,83.20275,83.21445,83.28906,83.18842,84.44561,83.134705,83.20118,83.18137,83.22957,83.19979,83.210724
SAM186,102.002,102.20427,101.95668,102.087105,102.018265,102.04209,102.03704,114.73498,102.03756,102.0746,101.96033
SAM187,117.39975,117.47025,117.45768,117.60849,117.51844,117.57802,117.331024,117.49377,120.65995,117.38144,117.50598
SAM188,115.81225,115.85749,115.871605,115.824486,115.785545,115.7892,106.79085,115.81171,115.88215,115.82239,115.83884
SAM189,116.6605,116.67863,116.72285,116.733086,116.723145,116.68953,111.76234,116.66626,116.60942,116.64638,116.651955
SAM190,117.5195,117.40194,118.38223,117.49025,117.513145,117.55331,117.56284,117.44761,117.4992,117.571815,117.47872
SAM191,116.57475,116.57652,116.4011,116.39812,116.52633,116.3733,116.61482,116.55465,116.59264,103.681206,116.389275
SAM192,104.15825,104.129395,104.10434,104.23685,104.18176,104.23969,104.02296,104.12698,130.3695,104.13677,104.11893
SAM193,109.14,119.730865,109.200264,109.15475,109.151215,109.17791,109.162796,109.200035,109.174995,109.14863,109.24115
SAM194,95.9265,85.80864,95.91484,95.8992,95.92186,95.92229,96.0495,95.88818,95.8941,95.88446,95.942726
SAM195,114.667,114.70498,114.68494,114.66263,114.59698,114.64584,118.47449,114.60774,114.69479,114.70217,114.63548
SAM196,114.02725,114.09234,114.03942,99.49559,113.99065,113.92145,114.03354,113.9292,114.1758,114.02117,114.07136
SAM197,77.1865,77.22066,77.11489,77.23163,83.44456,77.20008,77.198204,77.23101,77.1929,77.1092,77.25357
