SAMindex,EGsmlie2D,Category,kinds,UMAP1,UMAP2,TC_mean
SAM087,CO[C@H]1O[C@@H](CO)[C@H](C)[C@@H](O)[C@@H]1O,"1Alcohol, 8Ether",2,3.4347053,4.325207,108.98075
SAM088,CO[C@H]1OC[C@@H](C(C)=O)[C@@H](O)[C@H]1O,"1Alcohol, 5Ketone, 8Ether",3,3.1553764,2.7899125,86.03725
SAM089,CO[C@H]1OC[C@H](C(C)=O)[C@@H](O)[C@H]1O,"1Alcohol, 5Ketone, 8Ether",3,1.7640936,4.2061343,88.64425
SAM090,CS(=O)(=O)CN,6Amine,1,1.2176187,5.547454,91.21325
SAM091,CS(=O)(=O)c1cc(=O)[nH]c(=O)[nH]1,11Other,1,3.4786026,0.19814682,111.3995
SAM092,C[C@@H](O)C(=O)NC(C)(CO)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,6.7533383,6.3679204,108.452
SAM093,C[C@@H](O)CNC(=O)[C@@H](C)O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,1.0011146,7.024929,66.9665
SAM094,C[C@@]1(O)[C@H](O)O[C@](C)(CO)[C@]1(C)O,"1Alcohol, 8Ether",2,7.3198843,2.9668984,90.41975
SAM095,C[C@H](O)C(=O)NC(C)(CO)CO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,6.789112,6.4592032,112.95075
SAM096,Cn1c(=O)[nH]c(=O)c2c(O)c[nH]c21,1Alcohol,1,0.207417,4.0296197,101.59725
SAM097,CNC(=O)C(=O)NCCCOC,"5Ketone, 6Amine, 7Amide, 8Ether",4,6.224527,6.6016316,63.84375
SAM098,CNC(=O)C(=O)NCCOC,"5Ketone, 6Amine, 7Amide, 8Ether",4,6.435774,6.580944,59.67675
SAM099,NC(=O)NCN1CCOCC1,"6Amine, 7Amide, 8Ether",3,0.7296474,3.4395797,74.7025
SAM100,NC(=O)[C@@H]1CC[C@H](C(=O)[O-])[NH2+]1,"5Ketone, 6Amine, 7Amide",3,7.232902,5.730069,116.545
SAM101,NC(=O)[C@@H]1[C@H]2C=C[C@H](O2)[C@@H]1C(N)=O,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.88156015,5.7195563,120.1215
SAM102,NN1C(=O)[C@@H]2[C@H]3C=C[C@H](O3)[C@@H]2C1=O,"5Ketone, 6Amine, 7Amide, 8Ether",4,3.8045113,0.21217275,85.48025
SAM103,NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H](O3)[C@H]2C1=O,"5Ketone, 6Amine, 7Amide, 8Ether",4,0.5039943,5.92956,93.27825
SAM104,C1CN1c1nnc(N2CC2)nn1,6Amine,1,-0.32629412,4.8493314,112.58475
SAM105,C1Cn2nnnc2CN1,6Amine,1,2.0722854,3.1598256,81.7565
SAM106,C1NCNCN1,6Amine,1,3.6134188,0.076329835,101.951
SAM107,C1c2nnnn2Cc2nnnn21,11Other,1,1.9165435,3.3765304,80.298
SAM108,CC(=O)NCC(O)CNC(C)=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4,4.1383986,5.8611226,89.49125
SAM109,CC(=O)N[C@@H]1COC[C@H]1O,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5,2.6507545,4.3400416,114.55325
SAM110,CC(=O)N[C@@H]1C[C@H](O)O[C@H](C)[C@H]1O,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5,1.966728,4.3615394,124.09175
SAM111,CC(=O)N[C@H]1CO[C@@H]2[C@H](O)CO[C@H]12,"1Alcohol, 5Ketone, 6Amine, 7Amide, 8Ether",5,5.1927814,0.34131813,122.96725
SAM112,CN1C[C@H](N)C1=O,"5Ketone, 6Amine, 7Amide",3,5.755867,0.8816772,155.915
SAM113,CN1C(=O)C2C(=O)NC(=O)C[C@H]2C1=O,"5Ketone, 6Amine, 7Amide",3,3.6701374,0.03423102,160.09775
SAM114,CN1C(=O)C2C(=O)NC(=O)C[C@@H]2C1=O,"5Ketone, 6Amine, 7Amide",3,0.5555588,3.4519749,163.98025
SAM115,CN(CO)CCO,"1Alcohol, 6Amine",2,1.8357593,2.951691,143.1215
SAM116,CN1C[C@@H](N)C1=O,"5Ketone, 6Amine, 7Amide",3,5.5163403,1.0326179,147.0335
SAM117,CN1[C@H]2CC(=O)C[C@@H]1[C@H](O)[C@@H]2O,"1Alcohol, 5Ketone, 6Amine",3,5.373376,0.94015515,129.51225
SAM118,OCc1nnc(CO)[nH]1,1Alcohol,1,1.9990278,4.826391,101.887
SAM119,C[C@@]1(C(N)=O)CNCCO1,"5Ketone, 6Amine, 7Amide, 8Ether",4,4.139043,0.31475893,128.84375
SAM120,C[C@@H]1O[C@H](N)[C@@H](O)[C@H](O)[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3,5.543767,3.847415,182.95075
SAM121,NC(N=O)NO,"1Alcohol, 6Amine",2,5.3935804,0.5544273,164.298
SAM122,C[C@@H]1O[C@@H](N)[C@@H](O)[C@H](O)[C@@H]1O,"1Alcohol, 6Amine, 8Ether",3,7.30721,1.6664834,183.66
SAM123,N[C@H]1COCCNC1=O,"5Ketone, 6Amine, 7Amide, 8Ether",4,2.785118,4.338169,93.65525
SAM124,N[C@@H]1COCCNC1=O,"5Ketone, 6Amine, 7Amide, 8Ether",4,4.1327863,3.0202236,79.6345
SAM125,OC[C@H]1NC[C@@H](O)C(O)[C@@H]1O,"1Alcohol, 6Amine",2,7.1969934,1.6261289,169.89175
