SAMindex,EGsmlie2D,Category,kinds
SAM036,CC(=O)N[C@H](C=O)OCC=O,"5Ketone, 6Amine, 7Amide, 8Ether",4
SAM037,CC(=O)ONC(=O)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM038,C=C1NC(=O)C(=O)C1C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM039,C[C@H](O)[C@@H](O)[C@@H](O)[C@H](F)C=O,"1Alcohol, 5Ketone",2
SAM040,CO[C@@H]([C@@H](O)C=O)[C@H](O)[C@H](O)CO,"1Alcohol, 5Ketone, 8Ether",3
SAM041,CO[C@@H]([C@H](O)C=O)[C@H](O)[C@H](O)CO,"1Alcohol, 5Ketone, 8Ether",3
SAM042,CO[C@@H](C=O)O[C@@H](C=O)CO,"1Alcohol, 5Ketone, 8Ether",3
SAM043,CO[C@H](C=O)O[C@@H](C=O)CO,"1Alcohol, 5Ketone, 8Ether",3
SAM044,CO[C@H]([C@@H](O)C=O)[C@H](O)[C@H](O)CO,"1Alcohol, 5Ketone, 8Ether",3
SAM045,C[C@@H](O)[C@@H](O)[C@@H](O)CC=O,"1Alcohol, 5Ketone",2
SAM046,C[C@@H](O)[C@@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2
SAM047,C[C@@H](O)[C@@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2
SAM048,C[C@@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone",2
SAM049,C[C@@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2
SAM050,C[C@@H](O)[C@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2
SAM051,C[C@H](O)[C@@H](O)[C@H](O)C=O,"1Alcohol, 5Ketone",2
SAM052,NC(=O)C(=O)NO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM053,NOC(=O)[C@H](O)[C@@H](O)C(=O)ON,"1Alcohol, 3Ester, 5Ketone, 6Amine",4
SAM054,C=CCNC(=O)C(=O)NCCCO,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM055,C=CCNC(=O)c1cc(=O)[nH]c(=O)[nH]1,"6Amine, 7Amide",2
SAM056,C=C[C@@H](O)[C@@H](O)CO,1Alcohol,1
SAM057,CC(=O)NC/C(N)=N/O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM058,CC(=O)N[C@@H](CS)C(N)=O,"5Ketone, 6Amine, 7Amide",3
SAM059,OC[C@H]1O[C@H](S)[C@H](O)[C@@H](O)[C@H]1O,"1Alcohol, 8Ether",2
SAM060,CO[C@H](C=O)[C@@H](O)[C@@H](O)CO,"1Alcohol, 5Ketone, 8Ether",3
SAM061,C[C@@H](O)[C@@H](O)C[C@H](O)C=O,"1Alcohol, 5Ketone",2
SAM062,NC(=O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,"1Alcohol, 5Ketone, 6Amine, 7Amide",4
SAM063,N=NC(NN)NN,6Amine,1
SAM064,N[C@@H](C=O)[C@H](O)[C@H](O)[C@@H](O)CO,"1Alcohol, 5Ketone, 6Amine",3
